Provinsi,TPT,IPM,PKK,APS,Pulau
ACEH,6.03,73.4,9.44,33.1,SUMATERA
SUMATERA UTARA,5.89,73.37,8.6,28.61,SUMATERA
SUMATERA BARAT,5.94,73.75,7.63,38.08,SUMATERA
RIAU,4.23,74.04,12.33,30.07,SUMATERA
JAMBI,4.53,72.77,12.83,23.98,SUMATERA
SUMATERA SELATAN,4.11,71.62,6.53,19.79,SUMATERA
BENGKULU,3.42,72.78,9.25,30.74,SUMATERA
LAMPUNG,4.23,71.15,8.81,21.66,SUMATERA
KEP. BANGKA BELITUNG,4.56,72.85,13.35,17.59,SUMATERA
KEP. RIAU,6.8,77.11,9.83,20.51,SUMATERA
DKI JAKARTA,6.53,82.46,2.57,26.52,JAWA
JAWA BARAT,7.44,73.74,5.5,24.72,JAWA
JAWA TENGAH,5.13,73.39,10.44,24.59,JAWA
DI YOGYAKARTA,3.69,81.07,10.08,51.6,JAWA
JAWA TIMUR,4.88,73.38,8.09,26.53,JAWA
BANTEN,7.52,73.87,2.87,23.72,JAWA
BALI,2.69,77.1,3.77,30.92,BALI
NUSA TENGGARA BARAT,2.8,70.2,2.17,26.42,NUSA TENGGARA
NUSA TENGGARA TIMUR,3.14,66.68,14.98,30.68,NUSA TENGGARA
KALIMANTAN BARAT,5.05,69.41,15.03,25.08,KALIMANTAN
KALIMANTAN TENGAH,4.1,72.2,9.37,23.27,KALIMANTAN
KALIMANTAN SELATAN,4.31,72.5,4.48,27.18,KALIMANTAN
KALIMANTAN TIMUR,5.31,78.2,9.2,32.33,KALIMANTAN
KALIMANTAN UTARA,4.01,72.49,15.92,27.63,KALIMANTAN
SULAWESI UTARA,6.1,74.36,6.26,23.57,SULAWESI
SULAWESI TENGAH,2.95,70.95,10.09,27.58,SULAWESI
SULAWESI SELATAN,4.33,73.46,7.84,34.47,SULAWESI
SULAWESI TENGGARA,3.15,72.79,10.49,31.73,SULAWESI
GORONTALO,3.06,70.45,15.1,33.2,SULAWESI
SULAWESI BARAT,2.27,67.55,8.29,23.98,SULAWESI
MALUKU,6.31,70.94,30.27,37.41,MALUKU
MALUKU UTARA,4.31,70.21,29.56,28.78,MALUKU
PAPUA BARAT,5.38,66.66,24,31.15,PAPUA
PAPUA,2.67,62.25,35.63,23.89,PAPUA
,,,,,
,,,,,
,,,,,
,,,,,
